,0
Province/State,0
Country/Region,Italy
Lat,41.87194
Long,12.56738
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,2
2/1/20,2
2/2/20,2
2/3/20,2
2/4/20,2
2/5/20,2
2/6/20,2
2/7/20,3
2/8/20,3
2/9/20,3
2/10/20,3
2/11/20,3
2/12/20,3
2/13/20,3
2/14/20,3
2/15/20,3
2/16/20,3
2/17/20,3
2/18/20,3
2/19/20,3
2/20/20,3
2/21/20,20
2/22/20,62
2/23/20,155
2/24/20,229
2/25/20,322
2/26/20,453
2/27/20,655
2/28/20,888
2/29/20,1128
3/1/20,1694
3/2/20,2036
3/3/20,2502
3/4/20,3089
3/5/20,3858
3/6/20,4636
3/7/20,5883
3/8/20,7375
3/9/20,9172
3/10/20,10149
3/11/20,12462
3/12/20,15113
3/13/20,17660
3/14/20,21157
3/15/20,24747
3/16/20,27980
3/17/20,31506
3/18/20,35713
3/19/20,41035
3/20/20,47021
3/21/20,53578
3/22/20,59138
3/23/20,63927
3/24/20,69176
3/25/20,74386
3/26/20,80589
3/27/20,86498
3/28/20,92472
3/29/20,97689
3/30/20,101739
3/31/20,105792
4/1/20,110574
4/2/20,115242
4/3/20,119827
4/4/20,124632
4/5/20,128948
4/6/20,132547
4/7/20,135586
4/8/20,139422
4/9/20,143626
4/10/20,147577
4/11/20,152271
4/12/20,156363
4/13/20,159516
4/14/20,162488
4/15/20,165155
4/16/20,168941
4/17/20,172434
4/18/20,175925
4/19/20,178972
4/20/20,181228
4/21/20,183957
4/22/20,187327
4/23/20,189973
4/24/20,192994
4/25/20,195351
4/26/20,197675
4/27/20,199414
4/28/20,201505
4/29/20,203591
4/30/20,205463
5/1/20,207428
5/2/20,209328
5/3/20,210717
5/4/20,211938
5/5/20,213013
5/6/20,214457
5/7/20,215858
5/8/20,217185
5/9/20,218268
5/10/20,219070
5/11/20,219814
5/12/20,221216
5/13/20,222104
5/14/20,223096
5/15/20,223885
5/16/20,224760
5/17/20,225435
5/18/20,225886
5/19/20,226699
5/20/20,227364
5/21/20,228006
5/22/20,228658
5/23/20,229327
5/24/20,229858
5/25/20,230158
5/26/20,230555
5/27/20,231139
5/28/20,231732
5/29/20,232248
5/30/20,232664
5/31/20,232997
6/1/20,233197
6/2/20,233515
6/3/20,233836
6/4/20,234013
6/5/20,234531
6/6/20,234801
6/7/20,234998
6/8/20,235278
6/9/20,235561
6/10/20,235763
6/11/20,236142
6/12/20,236305
6/13/20,236651
6/14/20,236989
6/15/20,237290
6/16/20,237500
6/17/20,237828
6/18/20,238159
6/19/20,238011
6/20/20,238275
6/21/20,238499
6/22/20,238720
6/23/20,238833
6/24/20,239410
6/25/20,239706
6/26/20,239961
6/27/20,240136
6/28/20,240310
6/29/20,240436
6/30/20,240578
7/1/20,240760
7/2/20,240961
7/3/20,241184
7/4/20,241419
7/5/20,241611
7/6/20,241819
7/7/20,241956
7/8/20,242149
7/9/20,242363
7/10/20,242639
7/11/20,242827
7/12/20,243061
7/13/20,243230
7/14/20,243344
7/15/20,243506
7/16/20,243736
7/17/20,243967
7/18/20,244216
7/19/20,244434
7/20/20,244624
7/21/20,244752
7/22/20,245032
7/23/20,245338
7/24/20,245590
7/25/20,245864
7/26/20,246118
7/27/20,246286
7/28/20,246488
7/29/20,246776
7/30/20,247158
7/31/20,247537
8/1/20,247832
8/2/20,248070
8/3/20,248229
8/4/20,248419
8/5/20,248803
8/6/20,249204
8/7/20,249756
8/8/20,250103
8/9/20,250566
8/10/20,250825
8/11/20,251237
8/12/20,251713
8/13/20,252235
8/14/20,252809
8/15/20,253438
8/16/20,253915
8/17/20,254235
8/18/20,254636
8/19/20,255278
8/20/20,256118
8/21/20,257065
8/22/20,258136
8/23/20,259345
8/24/20,260298
8/25/20,261174
8/26/20,262540
8/27/20,263949
8/28/20,265409
8/29/20,266853
8/30/20,268218
8/31/20,269214
9/1/20,270189
9/2/20,271515
9/3/20,272912
9/4/20,274644
9/5/20,276338
9/6/20,277634
9/7/20,278784
9/8/20,280153
9/9/20,281583
9/10/20,283180
9/11/20,284796
9/12/20,286297
9/13/20,287753
9/14/20,288761
9/15/20,289990
9/16/20,291442
9/17/20,293025
9/18/20,294932
9/19/20,296569
9/20/20,298156
9/21/20,299506
9/22/20,300897
9/23/20,302537
9/24/20,304323
9/25/20,306235
9/26/20,308104
9/27/20,309870
9/28/20,311364
9/29/20,313011
9/30/20,314861
10/1/20,317409
10/2/20,319908
10/3/20,322751
10/4/20,325329
10/5/20,327586
10/6/20,330263
10/7/20,333940
10/8/20,338398
10/9/20,343770
10/10/20,349494
10/11/20,354950
10/12/20,359569
10/13/20,365467
10/14/20,372799
10/15/20,381602
10/16/20,391611
10/17/20,402536
10/18/20,414241
10/19/20,423578
10/20/20,434449
10/21/20,449648
10/22/20,465726
10/23/20,484869
10/24/20,504509
10/25/20,525782
10/26/20,542789
10/27/20,564778
10/28/20,589766
10/29/20,616595
10/30/20,647674
10/31/20,679430
11/1/20,709335
11/2/20,731588
11/3/20,759829
11/4/20,790377
11/5/20,824879
11/6/20,862681
11/7/20,902490
11/8/20,935104
11/9/20,960373
